titulo,ubicacion,detalle,portal
Empleo dePracticante Pre Profesional de Data Analytics en Grupo Pacasmayo,Santiago De Surco,"¿Quieres ayudarnos a construir el futuro que soñamos? 
¡Únete a nuestra Familia Pacasmayo!
Somos Pacasmayo, la compañía de cemento más grande del norte del Perú, líder en brindar soluciones constructivas que se anticipen a las necesidades de sus clientes. Buscamos gente con buena onda y garra, que le gusten los retos, experimentar y aprender 
¡Postula al puesto de Practicante Pre Profesional de Data & Analytics!

 ¿Qué tenemos para ti?
- Convenio de prácticas.
- Subvención económica.
- Seguro FOLA.
- Pertenecer a una empresa líder en la comercialización de soluciones constructivas.
- Excelente ambiente de trabajo.

¿Cuáles serían tus funciones?
- Analizar la información de los diferentes sistemas y entornos digitales existentes, para luego diseñar el modelo de datos y flujos de datos.
- Relacionar las distintas entidades y desarrollar diagramas de relaciones de entidades que representen las conexiones entre tablas y conceptos, para que el modelo de datos del datalake sea construido a partir de ello.
- Identificar las características y propiedades de cada entidad y asegurarse de que las entidades se pueden diferenciar dentro del modelo, para asegurar la consistencia de cada concepto con su dimensión física.
- Apoyar en desplegar nuevas tecnologías y enfoques para la gestión de modelos de machine learning (entrenamiento automatizado, monitoreo de drift, pipelines de ci/cd, gobierno de modelos, calidad de datos y feature stores).
- Apoyar con el cumplimiento de los lineamientos de arquitectura de datos en el ecosistema de machine learning, garantizando buenas prácticas en los procesos de despliegue, manejo de ambientes, actualizaciones de modelos y procedimientos de pases a producción.

 ¿Qué requisitos necesitas?
- Estudiantes de 7mo, 8vo, 9no ciclo de la carrera de Ingeniería de Sistemas, Ingeniería de Software, Ciencia de Datos, y/o afines.
- Excel (Intermedio).
- SQL (Intermedio).
- Power BI (Intermedio).
- Python (Básico).
-Conocimiento en aceleradores de código basados en IA
- R (Básico) - Deseable.

En Cementos Pacasmayo  abrazamos la diversidad e inclusión y nos encontramos comprometidos con la igualdad de oportunidades para todas las personas.
¡Anímate a ser parte de la FamiliaPacasmayo!
Al postular se afirma su consentimiento y autorización del uso de sus datos personales expuestos en su CV, dentro del marco de la Ley de Protección de Datos Personales N° 29733, para fines únicamente de postulación con la organización. Este registro se deriva al área de GH para el proceso de selección.",Computrabajo
Empleo deAnalista de Datos Junior (IT) en Bitel,Lima,"Somos Bitel, una compañía trasnacional de telecomunicaciones y tecnología de la información (TIC) que brinda servicios de telefonía, Internet, venta de equipos móviles y desarrollo de nuevas tecnologías, Estamos en búsqueda de un talento que ocupe el puesto de Analista de Business Intelligence (BI) / BI Engineer en nuestra oficina de SAN ISIDRO:
Requisitos:
Inglés Avanzado (esencial, se medirá)
Bachiller o egresado en ingeniería de sistemas o afines
Experiencia de 1 año en adelante en la posición
Conocimiento en SQL, Tableau y Qlik
Conocimiento de bases de datos relacionales y no relacionales (MongoDB).
Funciones:
Trabajar con SQL para crear informes.
Trabajar con Tableau, Qlik para crear paneles.
Trabajar con SQL, Python/R y marcos de aprendizaje automático para analizar y visualizar datos.
Colaborar con ingenieros de datos para procesar y transformar datos sin procesar en conjuntos de datos analíticos.
¿QUÉ OFRECEMOS?
Formar parte de una compañía de telecomunicaciones y tecnología con presencia en más de 8 países.
Línea de carrera.
Planilla completa con todos los beneficios acorde a ley.
Pago de utilidades.
EPS cubierta parcialmente.
Oportunidad de crecimiento laboral.
Trabajar junto con un equipo dispuesto a compartir conocimiento y desafíos.
Beneficios Corporativos.
¡Atrévete a tomar un nuevo reto y forma parte de nuestra gran familia Biteller!",Computrabajo
Empleo deData Integration/DataStage en NTT DATA,Lima,"NTT DATA somos todas las personas que la formamos. Un equipo de más de 139.000 profesionales, tan diverso cómo diversos son los 50 países en los que estamos presentes y los diferentes sectores en los que desarrollamos nuestra actividad; telecomunicaciones, entidades financieras, industria, utilities, energía, administración pública y sanidad.
¿Nuestra misión? Ofrecer soluciones tecnológicas, de negocio, estrategia, desarrollo y mantenimiento de aplicaciones, siendo un referente en consultoría. Todo gracias a la colaboración entre equipos, la calidad humana de nuestra gente y a que no nos conformamos con lo establecido, buscamos siempre la innovación que nos acerca al futuro.
Nuestra esencia nos ha llevado a la vanguardia de la tecnología, a romper paradigmas y a brindar las soluciones que realmente se corresponden a las necesidades de cada cliente. Nuestro talento nos ha hecho poder decir con orgullo que somos una de las 6 empresas TOP de tecnologías en el mundo.
Te invitamos a formar parte de nuestro equipo, ocupando el cargo de: Data Integration DataStage
Requisitos:
Estudios técnicos y/o universitarios completos, en las carreras de Ingeniería de Sistemas, Informática, Ing. Industrial y/o afines.
Experiencia sólida en IBM DataStage: Designer, Director y Administrator.
Dominio en diseño de Parallel Jobs y Sequence Jobs complejos.
Conocimiento avanzado de SQL: subconsultas, funciones de ventana, stored procedures y transacciones.
Experienci
Manejo de stages como:
Transformer
Merge
Funnel
Switch
Remove Duplicates
Complex Flat File
Email Stage
FTP Stage
Experiencia en procesamiento de archivos planos en distintos formatos: delimitados y de ancho fijo.
Conocimiento en envío de correos con adjuntos y transferencia FTP/SFTP con stages nativos.
Experiencia en cargas staging con control de auditoría, manejo de rechazos y procesamiento incremental.
Capacidad para implementar esquemas de monitoreo, alertamiento y recuperación automática de procesos ETL.
Experiencia en tuning y optimización de performance.

Principales responsabilidades
Diseñar arquitecturas ETL complejas en IBM DataStage.
Liderar técnicamente los desarrollos del equipo, promoviendo buenas prácticas y estándares de calidad.
Administrar cargas en producción, monitorear ejecuciones y diagnosticar fallos mediante DataStage Director.
Configurar entornos, conexiones, usuarios y promociones entre ambientes DEV / QA / PROD usando DataStage Administrator.
Desarrollar Parallel Jobs y Sequence Jobs complejos con lógica condicional, control de errores y reintentos.
Diseñar y parametrizar soluciones por ambiente mediante Parameter Sets.
Implementar tablas de auditoría y control para trazabilidad de procesos.
Gestionar cargas hacia DB2 y SQL Server con lógica upsert, control de duplicados, rechazos y carga incremental.
Diseñar y administrar mallas automáticas de ejecución, incluyendo monitoreo, alertas, recuperación y reanudación controlada de procesos.
Optimizar performance mediante particionamiento, uso de nodos paralelos y tuning de jobs.
Gestionar versionamiento y repositorio de desarrollos mediante exportación e importación DSX.

Beneficios:
Inmejorable oportunidad de línea de carrera profesional en nuestra consultora líder en el mercado TI.
Bono de alimentación.
Descuentos corporativos.
Contrato indeterminado desde el primer día.
Permanente capacitación y certificaciones Microsoft y AWS.
EPS cubierta al 100% y Seguro Vida Ley desde el primer día de labor.
Seguro Oncológico al 100%.

NTT DATA es un entorno inclusivo donde cada voz es escuchada y cada historia es valorada. Por eso, nuestro proceso de selección y reclutamiento se enfoca en identificar el talento sin distinción o sesgos relacionados con género, sexo, orientación sexual, discapacidad, edad u otras características personales",Computrabajo
Empleo deDesarrollador Full Stack en ACADEMIA VONEX,Lima,"¿Y si tu próximo trabajo no fuera escribir código línea por línea sino dirigir una orquesta de agentes de IA?
En la Academia Vonex llevamos 20 años preparando a los jóvenes que compiten por una vacante en la UNMSM, UNI y UNHEVAL con miles de ingresantes y 7 sedes a nivel nacional. Hoy estamos dando un paso que pocas empresas se atreven a dar: transformar nuestra área de TI en un equipo AI-native, que construye software dirigiendo agentes de IA con Spec-Driven Development (SDD).
Buscamos (1) DESARROLLADOR FULLSTACK que quiera ser parte de esta transformación.
Lo que harás
Traducir las necesidades del negocio en especificaciones claras antes de construir.
Desarrollar frontend y backend, y diseñar bases de datos eficientes, íntegras y seguras.
Revisar y validar lo que produce la IA: cazar bugs, optimizar rendimiento y dar seguridad.
Dar mantenimiento y garantizar la disponibilidad de las aplicaciones.
Crecer junto a un equipo en investigación constante.
 A quién buscamos (más allá del CV)
La IA amplifica lo que traes. Por eso valoramos tanto la actitud como el conocimiento. Queremos a alguien que:
Piense antes de codear - especifica el qué y el porqué.
Tenga criterio sobre la IA - entiende y defiende cada línea; no acepta porque la IA lo dijo.
Revise con ojo crítico - el reto ya no es escribir, es revisar bien.
Ame aprender - investiga, prueba y descubre patrones (esto cambia cada mes).
Colabore - con personas y con agentes.
Requisitos:
Egresado/Bachiller en Ing. de Software, Informática, Sistemas o afines.
3+ años como Desarrollador Fullstack.
PHP · PostgreSQL · Laravel · Vue.js (y deseable Redis, Docker, Linux).
Inglés técnico básico.
Lo que ofrecemos:
Dirigir tu propia orquesta de agentes de IA con tecnologías disruptivas.
Ser pionero de una transformación AI-native real (no de PowerPoint).
Un equipo colaborativo enfocado en tu crecimiento profesional y personal.
Planilla completa (todos los beneficios legales)
Modalidad: Presencial  Sede Cercado de Lima
Horario: Lunes a Viernes 7:55 a.m.  6:00 p.m.
Lo que más valoramos (y donde te ayudaremos a crecer):
Interés o experiencia en Agentes de IA y modelos LLM.
Haber explorado IDEs con IA (Claude Code, Codex, OpenCode, Antigravity).
Conocer o tener ganas de dominar Spec-Driven Development (SDD).
¿Te suena tu próximo reto?
Postula aquí",Computrabajo
Empleo deDesarrollador Full Stack en AybarCorp,Surco,"Importante empresa del sector inmobiliario se encuentra en la búsqueda de un Desarrollador Full Stack para integrarse al equipo de Transformación Digital, participando en el desarrollo y evolución de soluciones tecnológicas que impulsen la innovación y productividad del negocio.
REQUISITOS:
Bachiller o Titulado en Ingeniería de Sistemas, Software, Informática o carreras afines.
Experiencia mínima de 3 años en desarrollo de software.
Experiencia sólida con Java 11+ y Spring Boot.
Conocimientos en microservicios, APIs REST y bases de datos relacionales (PostgreSQL).
Experiencia en testing automatizado (JUnit, Mockito).
Conocimientos en CI/CD y prácticas DevOps.
Manejo de Git y metodologías ágiles (Scrum/Kanban).
Deseable experiencia integrando APIs de terceros (SUNAT, RENIEC, pasarelas de pago).
Uso frecuente de herramientas de IA para análisis, codificación y documentación.
 FUNCIONES:
Analizar requerimientos y diseñar soluciones tecnológicas.
Desarrollar microservicios y APIs bajo estándares de calidad y seguridad.
Escribir pruebas unitarias y de integración.
Participar en revisiones de código.
Documentar APIs y componentes desarrollados.
Colaborar en integraciones con sistemas externos.
Participar en despliegues y procesos CI/CD.
Reportar avances y riesgos al Líder Técnico.
OFRECEMOS:
Remuneración de S/ 2,000 a S/ 2,500 + S/ 500 de movilidad.
Pagos quincenales y fin de mes.
Planilla Régimen General / EPS cubierta al 100%.
Seguro Vida Ley.
Modalidad: Híbrida - Santiago de Surco
Horario: Lunes a viernes de 9:00a.m. a 6:00 p.m y Sábados:9:00 a.m. a 12:00 p.m.
Postula y forma parte de AYBARCORP. ¡Te esperamos!",Computrabajo
Empleo deIngeniero de Datos / MS Azure / empresa de tecnología en abanza,Lima,"Somos abanZa y por encargo de empresa peruana con más de 10 años en el mercado, que brinda consultoría informática, nos encontramos en la búsqueda de un Ingeniero de Datos.
Misión: 
Diseñar e implementar soluciones de datos que permitan centralizar, integrar y transformar información proveniente de múltiples fuentes en datos confiables y listos para análisis, habilitando visualización, automatización de procesos y toma de decisiones basada en datos.
Funciones principales:
Diseñar, desarrollar y mantener pipelines de datos (ETL/ELT) para la extracción, transformación e integración de información desde múltiples fuentes, asegurando su calidad, consistencia y disponibilidad.
Diseñar y gestionar flujos de datos entre sistemas empresariales (ERP, Microsoft 365, APIs, SIEM) y plataformas cloud.
Construir y mantener repositorios de datos centralizados (Data Warehouse, Data Lake o Lakehouse) que permitan la consolidación y explotación de la información.
Preparar y estructurar datasets optimizados para su consumo en herramientas analíticas como Power BI y Microsoft Fabric.
Garantizar la calidad e integridad de los datos mediante procesos de limpieza, validaciones automáticas y controles de calidad.
Monitorear y optimizar el rendimiento de los procesos de datos, asegurando eficiencia en tiempos de procesamiento y uso de recursos.
Brindar soporte, mantenimiento y resolución de incidentes relacionados con pipelines y flujos de datos.
Habilitar el uso de datos para iniciativas de analítica, automatización e inteligencia artificial dentro de la organización.
Apoyar en la estructuración y disponibilidad de datos para análisis de negocio y casos de ciberseguridad (SIEM como Wazuh o Sentinel).
Documentar procesos, flujos de datos y modelos implementados, asegurando la continuidad operativa.
Requisitos:
Profesional técnico o universitario en Ingeniería de Sistemas, Computación, Informática o afines.
Indispensable experiencia en diseño y mantenimiento de pipelines de datos (ETL/ELT).
Indispensable experiencia con herramientas de integración y orquestación como Azure Data Factory y Microsoft Fabric.
Dominio de SQL avanzado y modelado de datos relacional/analítico (por ejemplo: star schema, snowflake, etc.).
Manejo de bases de datos relacionales (SQL Server, MySQL y/o PostgreSQL) y no relacionales (por ejemplo: MongoDB, DynamoDB u otras).
Experiencia integrando datos desde APIs (REST), archivos (Excel, CSV, JSON, XML) y sistemas empresariales.
Experiencia en procesos de limpieza, transformación y validación de datos.
Manejo de plataformas de almacenamiento de datos (Data Warehouse, Data Lake y/o Lakehouse).
Experiencia trabajando con datos provenientes de ERP (Odoo deseable), Microsoft 365 (SharePoint, Dataverse, Teams) y SQL, PostgreSQL.
Conocimiento básico en entornos de ciberseguridad (Defender, SIEM como Wazuh o Sentinel u otros).
Condiciones:
Régimen MYPE (gratificaciones completas, 15 días de vacaciones y CTS al 50%)
Horario: lunes a viernes 9 am a 6 pm.
Trabajo 100% presencial. La oficina está ubicada en San Isidro - Lima.
EPS cubierta al 100% para el colaborador.",Computrabajo
Empleo deDesarrollador BI /Analista Comercial (React / SQL / NodejJS) ,Lima,"Si te apasionan los retos y estar en la cancha ¡Este trabajo es para ti! Somos una empresa de servicios de gestión de canales de venta. Somos socios permanentes de más de 30 empresas globales y regionales, en canales presenciales y virtuales en Perú y Chile. Nuestro propósito es impulsar el éxito de nuestros aliados comerciales, marcando tendencia en el mercado nacional e internacional.

 Desarrollador BI / Analista Comercial (React - SQL - Node.js)
¿Te apasiona transformar datos en información estratégica y desarrollar soluciones tecnológicas que impacten directamente en el negocio?
Buscamos un profesional con sólida experiencia en desarrollo web, bases de datos y analítica comercial para liderar la gestión y evolución de plataformas de Business Intelligence orientadas a la toma de decisiones.
Requisito indispensable
Experiencia comprobable en desarrollo web con React.js y Node.js.
Experiencia en gestión y optimización de bases de datos SQL.
Experiencia desarrollando dashboards, plataformas web o herramientas de visualización de indicadores.
Durante el proceso de selección se solicitará mostrar proyectos, dashboards o plataformas desarrolladas por el candidato.
¿Cuál será tu misión?
Gestionar, mantener y optimizar los sistemas e infraestructuras digitales de analítica comercial, asegurando la disponibilidad en tiempo real de los indicadores clave del negocio y transformando datos operativos en herramientas visuales que faciliten la toma de decisiones estratégicas.
Principales responsabilidades:
Desarrollo y mantenimiento de plataformas web
Mantener, actualizar y optimizar dashboards desarrollados en React.js, Next.js y Tailwind CSS.
Diseñar e implementar nuevos módulos, reportes, filtros y visualizaciones interactivas.
Gestionar integraciones backend en Node.js.
Administrar repositorios GitHub y despliegues en servidores cloud.
Garantizar la estabilidad, rendimiento y disponibilidad de la plataforma.
Gestión y optimización de datos
Administrar y optimizar bases de datos SQL.
Diseñar y mejorar consultas complejas para análisis comercial.
Garantizar la calidad, integridad y consistencia de la información.
Supervisar procesos automáticos de actualización de datos.
Analítica comercial y soporte al negocio
Traducir requerimientos comerciales en soluciones tecnológicas.
Monitorear indicadores clave de desempeño (KPIs).
Detectar anomalías y generar alertas oportunas.
Brindar soporte técnico a usuarios internos y clientes.
Requisitos:
Bachiller o titulado en Ingeniería de Sistemas, Ingeniería de Software, Ciencias de la Computación o carreras afines.
Especialización, diplomado o experiencia en Business Intelligence, Analítica Comercial o Data Analytics.
Experiencia mínima de 1 años en desarrollo web y gestión de bases de datos.
Dominio de React.js, Next.js, Node.js y SQL.
Manejo de GitHub y control de versiones.
Conocimientos en Power BI (deseable).
Capacidad analítica y orientación a la resolución de problemas.

¿Qué ofrecemos?
 Ingreso a planilla con todos los beneficios de ley 
Sueldo Fijo S/2500 + Comisiones S/2000
Desarrollo profesional y participación en proyectos de alto impacto.
Capacitación constante.
 Excelente clima laboral.
Oportunidad de crecimiento y línea de carrera.",Computrabajo
Empleo dePracticante PreProfesional de Data Analytics y automatización (Python + Power bi) en Prosegur,Surco,"Somos Prosegur, líderes globales en soluciones de seguridad, logística de valores y tecnología aplicada. Con presencia en 30 países y un equipo de más de 175.000 trabajadores, combinamos innovación, eficiencia operativa y compromiso humano para proteger lo que más importa.
Nuestros Valores:
Nos importan las personas / Pensamos en positivo / Somos imparables.
Actualmente buscamos un Practicante PREProfesional de data analytics, con la misión de apoyar en la transformación digital e innovación del área mediante el diseño y desarrollo de soluciones de analítica (Python, dashboards) y la implementación de asistentes o agentes de inteligencia artificial (utilizando frameworks de Gemini y Microsoft Copilot), con el fin de automatizar la auditoría continua, optimizar la revisión de grandes volúmenes de información y eficientar los procesos del equipo.
 Funciones:
Desarrollo y automatización con Python: Desarrollar y mantener scripts en Python para la extracción, limpieza y transformación automática de datos de diversas fuentes, reduciendo las tareas operativas manuales del equipo.
Implementación de inteligencia artificial: Apoyar en la configuración y despliegue de agentes e interfaces inteligentes utilizando Gemini y Microsoft Copilot Studio para facilitar la consulta de normativas, matrices de riesgo y políticas internas.
Analítica digital y dashboards: Construir y actualizar tableros en Power BI que permitan visualizar indicadores clave de riesgo, hallazgos de auditoría y el estado de los planes de acción.
Soporte a la auditoría continua: Colaborar en el diseño de pruebas automatizadas que alerten sobre anomalías en los controles del negocio, comprendiendo la lógica del proceso para mitigar riesgos eficazmente.
 Herramientas digitales que utilizará en el puesto:
Visual Studio Code, Anaconda o Jupyter Notebooks.
Google Gemini/ Vertex AI y Microsoft Copilot Studio.
Power BI Desktop y herramientas de consulta SQL (como DBeaver o SQL Server Management Studio).
Git y repositorios corporativos (GitHub / GitLab).
 Requisitos del perfil
Estudiante universitario desde 7mo ciclo a 9no ciclo de Ingeniería en informática & ciencia de datos (deseable) o sino de:  ingeniería de sistemas, ingeniería informática, ingeniería de la información, ciencia de datos o ingeniería industrial con enfoque en analítica.
Manejo de Python (básico - intermedio) para manipulación de datos (pandas, numpy) y automatización de tareas.
Consultas básicas o intermedias en SQL (extracción de muestras y uniones de tablas).
Diseño de tableros interactivos en Power BI o herramientas similares.
Excel intermedio (tablas dinámicas y fórmulas complejas).
 Competencias y habilidades
Alta habilidad en herramientas tecnológicas y mentalidad de automatización.
Perfil analítico, orientado a la mejora continua.
Dinámico, proactivo y con iniciativa.
Buenas habilidades de comunicación y trabajo colaborativo.
Orientación a resultados, organización, compromiso y responsabilidad.
 Ofrecemos
Subvención económica acorde al mercado.
Horario flexible.
Convenio prácticas profesionales.
Seguro FOLA.
Modalidad de trabajo híbrida (1 vez x semana oficina).
Grato ambiente laboral.",Computrabajo
Empleo deData Analyst / Retail Tecnológico en QUE TAL COMPRA DEL PERU S.A.C.,San Isidro,"En Grupo QTC, empresa líder y representante oficial de importantes marcas tecnológicas en el Perú, nos encontramos en la búsqueda de un(a) Data Analyst, cuyo objetivo será recopilar, procesar, analizar e interpretar datos mediante el uso de técnicas de procesamiento, modelado y visualización, asegurando la integridad de la información y generando insights accionables, con la finalidad de proporcionar información relevante que facilite la toma de decisiones estratégicas en la organización.
REQUISITOS: 
Bachiller o titulado en Ingeniería de Sistemas, Software, Datos, Estadística o carreras afines.
Experiencia de 3 años en roles analíticos o de Business Intelligence (BI).
Experiencia sólida en los sectores de Retail, Logística e Importaciones.
Experiencia en gestión y administración de bases de datos relacionales.
Dominio de SQL y PostgreSQL a nivel intermedio  avanzado.
Manejo de lenguajes de programación como Python o R (deseable).
Sólidos conocimientos en estadística aplicada.
Conocimientos básicos en Machine Learning.
FUNCIONES:
Recopilar, depurar y procesar datos provenientes de diversas fuentes, tales como SQL, SAP HANA y PostgreSQL.
Diseñar, desarrollar y mantener dashboards e informes utilizando herramientas de visualización como Power BI u otras.
Analizar tendencias, patrones y comportamientos en los datos, identificando oportunidades de mejora para el negocio.
Automatizar procesos de análisis y generación de reportes, optimizando la eficiencia operativa.
Definir, monitorear y dar seguimiento a indicadores clave de desempeño (KPIs) y métricas del negocio.
Elaborar informes ejecutivos, presentando conclusiones y recomendaciones basadas en el análisis de datos.
Colaborar de manera transversal con áreas como Finanzas, Logística, Marketing y Operaciones.
Asegurar la calidad, consistencia e integridad de la información, incluyendo la elaboración y mantenimiento de diccionarios de datos.
Cumplir con otras funciones asignadas por el jefe inmediato, en línea con los objetivos del área.
OFRECEMOS:
Ingreso a planilla (régimen general).
Participación en utilidades.
Descuentos corporativos en nuestras marcas.
Buen clima laboral.
Línea de carrera.
*En cumplimiento de la Ley N° 29973 y su reglamento, promovemos la igualdad de oportunidades y recibimos postulaciones de personas con discapacidad. Nuestro proceso de selección es libre de discriminación por género, orientación sexual, estado civil, nacionalidad, religión, condición económica u otros factores.
Al postular, autorizas el tratamiento de tus datos personales conforme a la Ley N° 29733, permitiendo su uso exclusivo para fines del proceso de selección.
 Importante: Grupo QTC no solicita pagos en ninguna etapa del proceso de reclutamiento.",Computrabajo
Empleo deDesarrollador Mobile Senior Flutter en Dacia Trading S.A.C.,Comas,"Somos la red de Distribuidoras del Grupo Jiménez, comercializamos nuestra propia marca Doña Gumi y otras líderes del mercado: Clorox, Alicorp, Molitalia, Kimberly Clark, Colgate y afines. Actualmente nos encontramos en la búsqueda de un Desarrollador Mobile Senior Flutter.

Responsabilidades Principales 
 Diseñar y desarrollar aplicaciones móviles multiplataforma usando Flutter. 
 Implementar funcionalidades offline y sincronización online. 
 Diseñar interfaces UX/UI modernas centradas en el usuario. 
 Integrar aplicaciones móviles con APIs REST y microservicios. 
 Participar en decisiones de arquitectura mobile. 
 Optimizar rendimiento y experiencia de usuario. 
 Publicar y mantener aplicaciones en entornos corporativos. 
 Implementar mecanismos de seguridad y autenticación. 
 Colaborar con backend, QA y negocio. 
 Participar activamente en metodologías ágiles

Experiencia 
 4+ años desarrollando aplicaciones móviles. 
 3+ años usando Flutter en proyectos reales. 
 Experiencia desarrollando apps corporativas. 
 Experiencia en aplicaciones de ventas, logística o distribución (deseable). 
 Experiencia en aplicaciones con funcionamiento offline/online. 
 Deseable experiencia integrando aplicaciones con SAP. 

CONOCIMIENTOS
Flutter (Avanzado), Dart (Avanzado), Clean Architecture,  MVC / MVVM / Bloc Pattern, Provider / Riverpod / Bloc,  Manejo de estados, Desarrollo offline/online,  Sincronización de datos, Consumo de APIs REST,  SQLite / almacenamiento local (Drift),  Manejo de sesiones y autenticación,  Diseño UX/UI orientado al cliente, Diseño de interfaces modernas y corporativas,   Responsive mobile design, Experiencia construyendo flujos intuitivos, Integración con SAP,  Integraciones corporativas, APIs empresariales, Arquitecturas distribuidas",Computrabajo
Empleo deIngeniero de Desarrollo Full Stack con experiencia en IA generativa en TRUSTCORP SAC,Lima,"TRUST CORP, importante empresa transnacional con sólida presencia en el rubro de Telecomunicaciones y Call Center, se encuentra en búsqueda del mejor talento para incorporarse a nuestro equipo como:
 INGENIERO DE DESARROLLO FULL STACK CON EXPERIENCIA EN IA GENERATIVA
Especialista en el diseño, desarrollo e integración de soluciones empresariales basadas en Inteligencia Artificial Generativa, con experiencia en arquitecturas backend escalables, integración de APIs y desarrollo de agentes conversacionales inteligentes.
Función principal:
Diseñar e implementar soluciones de IA Generativa para automatizar procesos, desarrollar agentes conversacionales e integrar modelos de lenguaje en aplicaciones empresariales.
Requisitos:
Profesional egresado o titulado de Ingeniería de Sistemas, Ingeniería de Software, Computación o carreras afines.
Experiencia mínima de 3 años en desarrollo Backend o Full Stack.
Experiencia comprobable en proyectos de Inteligencia Artificial Generativa.
Dominio de Node.js y JavaScript.
Experiencia trabajando con PostgreSQL y APIs REST.
Conocimientos en OpenAI API, Prompt Engineering y Function Calling.
Residir en Lima o Callao. En caso de residir en provincia, contar con disponibilidad para viajar a Lima para el recojo de equipos.
Conocimientos deseables:
LangChain y/o LangGraph.
Docker.
Linux.
Redis.
Arquitecturas RAG (Retrieval-Augmented Generation).
Competencias:
 Autonomía.
Pensamiento analítico.
Orientación a arquitectura de soluciones.
Capacidad de investigación y aprendizaje continuo.
Beneficios:
Trabajo remoto.
Planilla completa desde el primer día.
Excelente clima laboral.
Salario acorde al mercado.
Participación en proyectos innovadores de Inteligencia Artificial.
¡En TRUSTCORP velamos por tu salud y seguridad!
Promovemos la inclusión e inserción laboral sin distinción por razón de discapacidad, genero, orientación, identidad y expresión de género, lugar de origen o generación, Por ello ¡Todos los talentos son bienvenidos!
En Trustcorp respetamos sus datos personales. Ver nuestra política de privacidad disponible en nuetra página web, en el apartado de privacidad
Al postular, usted autoriza a Trustcorp el uso de sus datos personales para el presente y futuros procesos de selección, conforme a la Ley N.° 29733. Puede ejercer sus derechos a través de los canales oficiales de la empresa.",Computrabajo
Empleo deAnalista de Inteligencia Artificial (IA) / Empresa Industrial Plástica SJL en Grupo Perú Alfa,Lima,"Analista de Inteligencia Artificial (IA)

Nos encontramos en la búsqueda de un(a) Analista de Inteligencia Artificial para integrarse al área de Tecnología e Informática. Buscamos un profesional apasionado por la analítica avanzada, la automatización de procesos y el desarrollo de soluciones innovadoras basadas en IA, que contribuya a optimizar la gestión de información y la eficiencia operativa de nuestras empresas.
Principales responsabilidades:
Analizar estructuras de datos provenientes de sistemas ERP y otras fuentes de información.
Diseñar y desarrollar modelos de datos, procesos ETL y pipelines de información.
Construir algoritmos y soluciones para la automatización y validación de procesos de negocio.
Implementar modelos de Inteligencia Artificial para la detección de inconsistencias, anomalías y oportunidades de mejora.
Desarrollar agentes inteligentes y flujos automatizados para optimizar procesos operativos.
Integrar soluciones con ERP, bases de datos, APIs, herramientas BI y otros sistemas corporativos.
Proponer mejoras continuas mediante el uso de tecnologías emergentes y analítica avanzada.
Requerimientos de perfil:
Bachiller o Titulado en Ingeniería de Sistemas, Ingeniería de Software, Ingeniería Informática o carreras afines.
Mínimo 3 años de experiencia como Analista IA, AI Engineer, Especialista en IA, Ingeniero de Datos, Analista de Datos o posiciones similares.
Deseable experiencia en empresas de retail, consumo masivo, manufactura, distribución, agroindustria o sectores afines.
Conocimientos Técnicos
Python (Intermedio/Avanzado).
Pandas, NumPy.
SQL Server y Transact-SQL.
Machine Learning e IA Generativa.
Desarrollo de agentes de IA.
Procesos ETL y Data Engineering.
Integración mediante APIs y Web Services.
Power BI y diseño de dashboards.
Automatización de procesos (Python, Power Automate, UiPath u otros).
Manejo de grandes volúmenes de datos.
Deseable experiencia con ERP (SAP, Epicor, Infor u otros).
Conocimiento de inventarios, Kardex y métodos de valorización.
Beneficios:
 Planilla completa con todos los beneficios de ley.
 Línea de carrera.
 Almuerzo cubierto al 100%
 EPS cubierto al 100%",Computrabajo
